Entry Type,Series,Company,Posting Date,,,Account (Accounting Entries),Credit (Accounting Entries),Debit (Accounting Entries),Cost Center (Accounting Entries),Party Type (Accounting Entries),Party (Accounting Entries)
,,,,1010314,Al Majal Service Master Co.,1010314 - Al Majal Service Master Co. - B,21315,0,Main - B,Customer,Guest
,,,,1010314,Al Majal Service Master Co.,1010314 - Al Majal Service Master Co. - B,4966.5,0,Main - B,Customer,Guest
,,,,1010314,Al Majal Service Master Co.,1010314 - Al Majal Service Master Co. - B,29415.75,0,Main - B,Customer,Guest
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,130000,0,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,130000,Main - B,Customer,Guest
,,,,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,703.8,0,Main - B,Customer,Guest
,,,,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,1173.9,0,Main - B,Customer,Guest
,,,,5030102,GOSI,5030102 - GOSI - B,0,703.8,Main - B,Customer,Guest
,,,,5030104,Medical Insurance,5030104 - Medical Insurance - B,0,1173.9,Main - B,Customer,Guest
,,,,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,5000,0,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,5000,Main - B,Customer,Guest
,,,,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,10000,0,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,10000,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2019-04-09,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,50,0,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,50,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2019-04-10,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,0,16571,Main - B,Customer,Guest
,,,,1010302,Noura Pharmacy,1010302 - Noura Pharmacy - B,16571,0,Main - B,Customer,Guest
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,16500,0,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,16500,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2019-04-14,1010314,Al Majal Service Master Co.,1010314 - Al Majal Service Master Co. - B,0,29767.5,Main - B,Customer,Guest
,,,,2010301,VAT on Sales,2010301 - VAT on Sales - B,1417.5,0,Main - B,Customer,Guest
,,,,4010101,Revenue - Construction,4010101 - Revenue - Construction - B,28350,0,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2019-04-15,1010314,Al Majal Service Master Co.,1010314 - Al Majal Service Master Co. - B,0,141435,Main - B,Customer,Guest
,,,,2010301,VAT on Sales,2010301 - VAT on Sales - B,6735,0,Main - B,Customer,Guest
,,,,4010101,Revenue - Construction,4010101 - Revenue - Construction - B,134700,0,Main - B,Customer,Guest
,,,,1010314,Al Majal Service Master Co.,1010314 - Al Majal Service Master Co. - B,0,242707.5,Main - B,Customer,Guest
,,,,2010301,VAT on Sales,2010301 - VAT on Sales - B,11557.5,0,Main - B,Customer,Guest
,,,,4010101,Revenue - Construction,4010101 - Revenue - Construction - B,231150,0,Main - B,Customer,Guest
